comment_id,note_id,root_comment_id,parent_comment_id,target_comment_id,content,like_count,sub_comment_count,ip_location,status,create_time,create_time_iso,user_id,nickname,clean_content,keyword_hit
68c5854b000000001d004c27_c0,68c5854b000000001d004c27,,,,姐姐好厉害[派对R],0,0,,,0,,,,姐姐好厉害,
68c5854b000000001d004c27_c1,68c5854b000000001d004c27,,,,太棒啦！！[派对R][派对R]（我们已经上课一周啦[偷笑R]）,0,1,,,0,,,,太棒啦！！ （我们已经上课一周啦 ）,
68c5854b000000001d004c27_c2,68c5854b000000001d004c27,,,,同一学校同一专业，我女儿今年刚刚毕业！[捂脸R],1,0,,,0,,,,同一学校同一专业，我女儿今年刚刚毕业！,
68c5854b000000001d004c27_c3,68c5854b000000001d004c27,,,,居然刷到直系学妹了[棒R][棒R],0,1,,,0,,,,居然刷到直系学妹了,
68c5854b000000001d004c27_c4,68c5854b000000001d004c27,,,,这篇稿子得好好学习[点赞R][点赞R][点赞R],0,2,,,0,,,,这篇稿子得好好学习,
68c5854b000000001d004c27_c5,68c5854b000000001d004c27,,,,棒棒哒[派对R],1,1,,,0,,,,棒棒哒,
68c5854b000000001d004c27_c6,68c5854b000000001d004c27,,,,好厉害！[萌萌哒R],0,1,,,0,,,,好厉害！,
68c5854b000000001d004c27_c7,68c5854b000000001d004c27,,,,姐姐你棒[派对R],1,1,,,0,,,,姐姐你棒,
68c5854b000000001d004c27_c8,68c5854b000000001d004c27,,,,太可以了！！！！！,0,1,,,0,,,,太可以了！！！！！,
68c5854b000000001d004c27_c9,68c5854b000000001d004c27,,,,[赞R][赞R][赞R],1,1,,,0,,,,,
687895d4000000020d010332_c0,687895d4000000020d010332,,,,这个我就拍不出来[笑哭R],0,2,,,0,,,,这个我就拍不出来,
687895d4000000020d010332_c1,687895d4000000020d010332,,,,好美[亲一个R][亲一个R][亲一个R],0,1,,,0,,,,好美,
687895d4000000020d010332_c2,687895d4000000020d010332,,,,欢迎学姐[萌萌哒R],1,1,,,0,,,,欢迎学姐,
687895d4000000020d010332_c3,687895d4000000020d010332,,,,棒棒嘟🉑,0,1,,,0,,,,棒棒嘟🉑,
687895d4000000020d010332_c4,687895d4000000020d010332,,,,哈哈哈哈哈哈哈哈哈[害羞R]美腻哦,0,1,,,0,,,,哈哈哈哈哈哈哈哈哈 美腻哦,
682edc61000000002300dc3c_c0,682edc61000000002300dc3c,,,,怪不得关注的你，离开大连了宝贝儿，恭喜考研上岸,1,0,,,0,,,,怪不得关注的你，离开大连了宝贝儿，恭喜考研上岸,
682edc61000000002300dc3c_c1,682edc61000000002300dc3c,,,,毕业快乐,0,1,,,0,,,,毕业快乐,
682edc61000000002300dc3c_c2,682edc61000000002300dc3c,,,,@荔栀,0,0,,,0,,,,@荔栀,
682edc61000000002300dc3c_c3,682edc61000000002300dc3c,,,,毕业快乐！！！,0,3,,,0,,,,毕业快乐！！！,
682edc61000000002300dc3c_c4,682edc61000000002300dc3c,,,,好美好美，学姐毕业快乐！[萌萌哒R][萌萌哒R],0,1,,,0,,,,好美好美，学姐毕业快乐！,
682edc61000000002300dc3c_c5,682edc61000000002300dc3c,,,,毕业快乐！,0,1,,,0,,,,毕业快乐！,
682edc61000000002300dc3c_c6,682edc61000000002300dc3c,,,,祝你毕业快乐～[大笑R][大笑R],0,1,,,0,,,,祝你毕业快乐～,
682edc61000000002300dc3c_c7,682edc61000000002300dc3c,,,,毕业快乐！[萌萌哒R],0,1,,,0,,,,毕业快乐！,
682edc61000000002300dc3c_c8,682edc61000000002300dc3c,,,,毕业快乐🎉9 月南开见,1,1,,,0,,,,毕业快乐🎉9 月南开见,
67fb4908000000001c02fc22_c0,67fb4908000000001c02fc22,,,,扈姐最棒！,0,1,,,0,,,,扈姐最棒！,
67fb4908000000001c02fc22_c1,67fb4908000000001c02fc22,,,,读到了 学到了[偷笑R],0,1,,,0,,,,读到了 学到了,
67fb4908000000001c02fc22_c2,67fb4908000000001c02fc22,,,,我的心声[哭惹R][哭惹R],0,1,,,0,,,,我的心声,
67fb4908000000001c02fc22_c3,67fb4908000000001c02fc22,,,,写的很好，感觉到学姐是一位特别有上进心和追求的女生[派对R],0,1,,,0,,,,写的很好，感觉到学姐是一位特别有上进心和追求的女生,
67fb4908000000001c02fc22_c4,67fb4908000000001c02fc22,,,,#披荆斩棘[搜索高亮]# ，活出最好的自己[萌萌哒R],0,1,,,0,,,,，活出最好的自己,
67fb4908000000001c02fc22_c5,67fb4908000000001c02fc22,,,,太棒啦！,0,1,,,0,,,,太棒啦！,
67cd62dd000000002901a76f_c0,67cd62dd000000002901a76f,,,,请问博主当时开票是用自己的身份吗？我实习也要让我开票，还要用自己身份[捂脸R],0,0,,,0,,,,请问博主当时开票是用自己的身份吗？我实习也要让我开票，还要用自己身份,
67cd62dd000000002901a76f_c1,67cd62dd000000002901a76f,,,,姐姐求问有什么渠道可以投递这种财务实习呀,0,0,,,0,,,,姐姐求问有什么渠道可以投递这种财务实习呀,
67cd62dd000000002901a76f_c2,67cd62dd000000002901a76f,,,,姐姐好，想问问是什么公司呀？在哪里投的简历呢？,0,0,,,0,,,,姐姐好，想问问是什么公司呀？在哪里投的简历呢？,
67cd62dd000000002901a76f_c3,67cd62dd000000002901a76f,,,,这是哪个企业呀，也想投实习,0,0,,,0,,,,这是哪个企业呀，也想投实习,
67cd62dd000000002901a76f_c4,67cd62dd000000002901a76f,,,,求问是哪个央企呀？,0,0,,,0,,,,求问是哪个央企呀？,
67cd62dd000000002901a76f_c5,67cd62dd000000002901a76f,,,,可以问下是什么企业呀[暗中观察R]想投投试试,0,0,,,0,,,,可以问下是什么企业呀 想投投试试,
67cd62dd000000002901a76f_c6,67cd62dd000000002901a76f,,,,这样的实习才有价值[庆祝R],0,1,,,0,,,,这样的实习才有价值,
67cd62dd000000002901a76f_c7,67cd62dd000000002901a76f,,,,姐妹这种财务实习怎么找呀？[害羞R],0,0,,,0,,,,姐妹这种财务实习怎么找呀？,
67cd62dd000000002901a76f_c8,67cd62dd000000002901a76f,,,,[偷笑R]姐妹这种实习怎么找啊？我目前只知道四大的审计招聘[哭惹R],0,0,,,0,,,,姐妹这种实习怎么找啊？我目前只知道四大的审计招聘,
67cd62dd000000002901a76f_c9,67cd62dd000000002901a76f,,,,姐姐好棒[哇R],0,1,,,0,,,,姐姐好棒,
67b6eeb10000000029039e71_c0,67b6eeb10000000029039e71,,,,宝 想问问除了英文自我介绍 后面还会随机让用英语回答问题吗[皱眉R],0,0,,,0,,,,宝 想问问除了英文自我介绍 后面还会随机让用英语回答问题吗,
67b6eeb10000000029039e71_c1,67b6eeb10000000029039e71,,,,请问是只有自我介绍是英文嘛？还是专业问题也会问英文呀[抽泣R],1,3,,,0,,,,请问是只有自我介绍是英文嘛？还是专业问题也会问英文呀,
67b6eeb10000000029039e71_c2,67b6eeb10000000029039e71,,,,姐妹你在app上是怎么投的呀,0,0,,,0,,,,姐妹你在app上是怎么投的呀,
67b6eeb10000000029039e71_c3,67b6eeb10000000029039e71,,,,问下实习证明应该盖什么章呀还是每个公司不一样，还没实习过[皱眉R],0,1,,,0,,,,问下实习证明应该盖什么章呀还是每个公司不一样，还没实习过,
67b6eeb10000000029039e71_c4,67b6eeb10000000029039e71,,,,大概多久出结果啊[飞吻R],0,0,,,0,,,,大概多久出结果啊,
67b6eeb10000000029039e71_c5,67b6eeb10000000029039e71,,,,请问这种通过了是不是都要尽快入职 不像校招生统一入职？,0,0,,,0,,,,请问这种通过了是不是都要尽快入职 不像校招生统一入职？,
67b6eeb10000000029039e71_c6,67b6eeb10000000029039e71,,,,别的平台投递是没有测评直接hr面了吗,0,0,,,0,,,,别的平台投递是没有测评直接hr面了吗,
67b6eeb10000000029039e71_c7,67b6eeb10000000029039e71,,,,没有从官网投简历还有测评和群面吗,1,1,,,0,,,,没有从官网投简历还有测评和群面吗,
67b6eeb10000000029039e71_c8,67b6eeb10000000029039e71,,,,你今天的面试官路过[害羞R][害羞R],20,3,,,0,,,,你今天的面试官路过,
67b6eeb10000000029039e71_c9,67b6eeb10000000029039e71,,,,面试全程英文嘛请问[飞吻R][飞吻R],0,1,,,0,,,,面试全程英文嘛请问,
67b2fa97000000002902e074_c0,67b2fa97000000002902e074,,,,开始好好更新小红书啦，欢迎来我主页看看！[害羞R]今年从双非保研到中上985，在小红书陪伴大家，分享保研、英语、竞赛、实习的经验！！[派对R],1,2,,,0,,,,开始好好更新小红书啦，欢迎来我主页看看！ 今年从双非保研到中上985，在小红书陪伴大家，分享保研、英语、竞赛、实习的经验！！,
67b2fa97000000002902e074_c1,67b2fa97000000002902e074,,,,不是，为啥雷总有草你没有,0,2,,,0,,,,不是，为啥雷总有草你没有,
67b2fa97000000002902e074_c2,67b2fa97000000002902e074,,,,好美！,0,1,,,0,,,,好美！,
677e6c3d00000002200110f7_c0,677e6c3d00000002200110f7,,,,学姐入的是南开的哪个专业呀,0,1,,,0,,,,学姐入的是南开的哪个专业呀,
677e6c3d00000002200110f7_c1,677e6c3d00000002200110f7,,,,挑战杯的国奖下来保研是不是来不及了呀,0,1,,,0,,,,挑战杯的国奖下来保研是不是来不及了呀,
677e6c3d00000002200110f7_c2,677e6c3d00000002200110f7,,,,妈呀学姐[皱眉R],1,0,,,0,,,,妈呀学姐,
677e6c3d00000002200110f7_c3,677e6c3d00000002200110f7,,,,关注啦！[派对R],0,0,,,0,,,,关注啦！,
677e6c3d00000002200110f7_c4,677e6c3d00000002200110f7,,,,博主私信啦，有问题请教一下,0,1,,,0,,,,博主私信啦，有问题请教一下,
675c0d1b000000000603edc9_c0,675c0d1b000000000603edc9,,,,[赞R][赞R],0,0,,,0,,,,,
