comment_id,note_id,root_comment_id,parent_comment_id,target_comment_id,content,like_count,sub_comment_count,ip_location,status,create_time,create_time_iso,user_id,nickname,clean_content,keyword_hits
69f08e77000000003502bf98_c0,69f08e77000000003502bf98,,,,[笑哭R]金融科技岗什么的，单九硕，双非本还有戏吗,0,0,Beijing,,0,,,Grid,[笑哭R]金融科技岗什么的，单九硕，双非本还有戏吗,
69f08e77000000003502bf98_c1,69f08e77000000003502bf98,,,,暑期日常实习[呃R][呃R] 非应届可以投吗,0,0,Shanghai,,0,,,橘子啊🍊,暑期日常实习[呃R][呃R] 非应届可以投吗,
69f08e77000000003502bf98_c2,69f08e77000000003502bf98,,,,实习一般只有两段但中九+港硕可以 #投暑期实习[搜索高亮]# 吗[哭惹R],0,0,Guangdong,,0,,,messii39and10,实习一般只有两段但中九+港硕可以 吗[哭惹R],
69f08e77000000003502bf98_c3,69f08e77000000003502bf98,,,,26届签了三方还可以进吗[哭惹R],0,0,Guangdong,,0,,,万粒桑,26届签了三方还可以进吗[哭惹R],
69f08e77000000003502bf98_c4,69f08e77000000003502bf98,,,,交了社保是不是去不了了[完啦R]25届我恨,0,0,Hebei,,0,,,momomo,交了社保是不是去不了了[完啦R]25届我恨,
69f08e77000000003502bf98_c5,69f08e77000000003502bf98,,,,京区211会计硕士可以嘛  #一段八大会计师事务所的实习[搜索高亮]#  6门acca,0,0,Hebei,,0,,,好运来来来来,京区211会计硕士可以嘛 6门acca,
69f08e77000000003502bf98_c6,69f08e77000000003502bf98,,,,双非本对外经贸硕有戏吗,0,0,Henan,,0,,,somebody,双非本对外经贸硕有戏吗,
69f08e77000000003502bf98_c7,69f08e77000000003502bf98,,,,老师觉得股衍怎么样[doge],0,0,"Hong Kong, China",,0,,,Happy Jerry,老师觉得股衍怎么样[doge],
69f08e77000000003502bf98_c8,69f08e77000000003502bf98,,,,pony老师，请问双非本硕有机会进国金债承嘛[捂脸R]三月进的质控部实习，打算转债承暑期，熬到明年有机会嘛[皱眉R][皱眉R],1,0,Shanghai,,0,,,拖延症（恢复中~）,pony老师，请问双非本硕有机会进国金债承嘛[捂脸R]三月进的质控部实习，打算转债承暑期，熬到明年有机会嘛[皱眉R][皱眉R],
69f08e77000000003502bf98_c9,69f08e77000000003502bf98,,,,老师好，咨询求DM一下[微笑R][微笑R],0,0,Beijing,,0,,,老公,老师好，咨询求DM一下[微笑R][微笑R],
6a004d910000000036000bfe_c0,6a004d910000000036000bfe,,,,#暑期三中一华简历关基本都过了[搜索高亮]# （已发的），但因为个人准备不太充分的原因感觉基本全部半途gg，暑期补一段日常，秋招还有机会吗[哭惹R],0,0,Sichuan,,0,,,M.,（已发的），但因为个人准备不太充分的原因感觉基本全部半途gg，暑期补一段日常，秋招还有机会吗[哭惹R],
6a004d910000000036000bfe_c1,6a004d910000000036000bfe,,,,双2非财经工科院校 是不是基本不用看这些了[捂脸R],0,0,Sichuan,,0,,,StHoM,双2非财经工科院校 是不是基本不用看这些了[捂脸R],
6a004d910000000036000bfe_c2,6a004d910000000036000bfe,,,,27的呢老师[皱眉R],0,0,Shanghai,,0,,,lilililililalalalala,27的呢老师[皱眉R],
6a004d910000000036000bfe_c3,6a004d910000000036000bfe,,,,24的有人在意吗,0,0,Shanghai,,0,,,焦糖小饼干2026,24的有人在意吗,
6a004d910000000036000bfe_c4,6a004d910000000036000bfe,,,,本科生有机会吗 要是等三年之后研究生毕业 行情会再次变差吗[失望R],0,0,Hubei,,0,,,故意去按发炎的智齿,本科生有机会吗 要是等三年之后研究生毕业 行情会再次变差吗[失望R],
6a004d910000000036000bfe_c5,6a004d910000000036000bfe,,,,#gtht[搜索高亮]#  作为现在的断档top1，也这么水吗？,2,0,Beijing,,0,,,momo,作为现在的断档top1，也这么水吗？,
