company_id,canonical_name,display_name,aliases_json,entity_members_json,child_entity_count,source_coverage_json,source_count,source_priority,first_seen_source,last_seen_source,has_spring,has_fall,has_intern,has_public_recruit,spring_record_count,fall_record_count,intern_record_count,public_recruit_record_count,has_spring_at_parent_level,has_spring_at_any_child_level,spring_parent_record_count,spring_child_record_count,dominant_season,record_count_total,company_nature,industry_coarse,industry_fine,industry_tags_json,is_state_owned,is_foreign,is_financial,is_bank_like,is_securities_like,has_apply_link,has_announce_link,best_apply_link,best_announce_link,best_link_source,is_crawlable,completeness_score,needs_manual_review,merge_notes_json
C00001,360集团,360集团,"[""360集团""]","[""360集团""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,True,True,False,2,3,1,0,True,False,2,0,fall,6,民营企业,internet,互联网/人工智能/软件/网络安全/游戏,"[""互联网"", ""互联网/人工智能/软件/网络安全/游戏"", ""网络安全/互联网服务/智能硬件与数字化安全""]",False,False,False,False,False,True,True,http://campus.360.cn/,https://mp.weixin.qq.com/s/GhkgyFoLrvaQJGUEXp6Bkw,xiaozhao,True,100.0,False,[]
C00002,361°,361°,"[""361°""]","[""361°""]",1,"[""xiaozhao_export""]",1,xiaozhao_export,xiaozhao_export,xiaozhao_export,False,True,False,False,0,1,0,0,False,False,0,0,fall,1,,consumer_retail,,"[""快消零售""]",False,False,False,False,False,True,True,https://app.mokahr.com/campus-recruitment/361sport/92204#/jobs,https://mp.weixin.qq.com/s/LXJXZ0cYweyqyU9LtZZekQ,xiaozhao,True,50.0,False,[]
C00003,3RiversTrading,3RiversTrading,"[""3Rivers Trading"", ""3RiversTrading""]","[""3RiversTrading""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,False,False,False,3,0,0,0,True,False,3,0,spring,3,民营企业,finance,金融/证券/基金/期货/保险/信托/投融资​,"[""量化投资/高频交易/程序化交易/资产管理/金融科技"", ""金融"", ""金融/证券/基金/期货/保险/信托/投融资​""]",False,False,True,False,True,True,True,https://mp.weixin.qq.com/s/YuVoHQ3wh3RU1djiEoNWyw,https://mp.weixin.qq.com/s/YuVoHQ3wh3RU1djiEoNWyw,xiaozhao,False,100.0,False,[]
C00004,4399游戏,4399游戏,"[""4399"", ""4399游戏""]","[""4399游戏""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,True,True,False,2,2,1,0,True,False,2,0,spring,5,民营企业,gaming,互联网/人工智能/软件/网络安全/游戏,"[""互联网/人工智能/软件/网络安全/游戏"", ""游戏""]",False,False,False,False,False,True,True,https://hr.4399om.com/weixin/?r=job/agent&type=2&isOpen=0&jobTableType=1,https://mp.weixin.qq.com/s/_G_SP2rHt4abFsitv1BHFg,xiaozhao,True,100.0,False,"[""auto-merged: '4399游戏' ↔ '4399'""]"
C00005,58同城,58同城,"[""58同城""]","[""58同城""]",1,"[""xiaozhao_export""]",1,xiaozhao_export,xiaozhao_export,xiaozhao_export,False,True,False,False,0,1,0,0,False,False,0,0,fall,1,,internet,,"[""互联网""]",False,False,False,False,False,False,True,,https://mp.weixin.qq.com/s/jQDPqXn9E9e8SQgTHiXAtg,,False,25.0,False,[]
C00006,89TRILLION,89TRILLION,"[""89TRILLION""]","[""89TRILLION""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,False,False,False,2,0,0,0,True,False,2,0,spring,2,民营企业,gaming,互联网/人工智能/软件/网络安全/游戏,"[""互联网/人工智能/软件/网络安全/游戏"", ""游戏""]",False,False,False,False,False,True,True,https://doc.weixin.qq.com/forms/AJUAOQftAAsAZgAywbeAHECNdYdzx4jTf,https://mp.weixin.qq.com/s/yrBQivOYZCome0BRJz14yg,xiaozhao,True,100.0,False,[]
C00007,9377游戏,9377游戏,"[""9377游戏""]","[""9377游戏""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,True,False,False,6,1,0,0,True,False,6,0,spring,7,民营企业,gaming,网页游戏与移动游戏研发发行/游戏运营/互动娱乐,"[""互联网/人工智能/软件/网络安全/游戏"", ""游戏"", ""网页游戏与移动游戏研发发行/游戏运营/互动娱乐""]",False,False,False,False,False,True,True,https://9377.zhiye.com/campus?sessionid=,https://mp.weixin.qq.com/s/H4lz3OR7brh3i2hhKqLyLw,xiaozhao,True,100.0,False,[]
C00008,A.M.A,A.M.A,"[""A.M.A""]","[""A.M.A""]",1,"[""xiaozhao_export""]",1,xiaozhao_export,xiaozhao_export,xiaozhao_export,False,True,False,False,0,1,0,0,False,False,0,0,fall,1,,tech,,"[""科技""]",False,False,False,False,False,True,True,http://mp.weixin.qq.com/s?__biz=MzkwMzI1NTMxOA==&mid=2247511196&idx=1&sn=9f1345f27cae731d3f75d9210f0a0e8b&chksm=c09be8e5f7ec61f38b6b19ca21dc3ebd42b2b9bba7380e4ab28ec086f4e169d40dbd489c67de#rd,http://mp.weixin.qq.com/s?__biz=MzkwMzI1NTMxOA==&mid=2247511196&idx=1&sn=9f1345f27cae731d3f75d9210f0a0e8b&chksm=c09be8e5f7ec61f38b6b19ca21dc3ebd42b2b9bba7380e4ab28ec086f4e169d40dbd489c67de#rd,xiaozhao,False,50.0,False,[]
C00009,AACTechnologies瑞声科技,AACTechnologies瑞声科技,"[""AAC Technologies瑞声科技"", ""AACTechnologies瑞声科技"", ""瑞声科技""]","[""AACTechnologies瑞声科技""]",1,"[""xiaozhao_export""]",1,xiaozhao_export,xiaozhao_export,xiaozhao_export,True,False,False,False,2,0,0,0,True,False,2,0,spring,2,,foreign,,"[""外企"", ""科技""]",False,False,False,False,False,True,True,https://talent.aactechnologies.com/campus/position/list,https://mp.weixin.qq.com/s/lUI5bp6Z5YNMyxO4iLjUbA,xiaozhao,True,70.0,False,"[""auto-merged: 'AACTechnologies瑞声科技' ↔ '瑞声科技'""]"
C00010,AAC瑞声科技,AAC瑞声科技,"[""AAC瑞声科技""]","[""AAC瑞声科技""]",1,"[""qq_sheet"", ""xiaozhao_export""]",2,both,xiaozhao_export,qq_sheet,True,True,False,False,2,1,0,0,True,False,2,0,spring,3,民营企业,manufacturing,电子/半导体/芯片/集成电路/消费电子/光学光电/计算机硬件,"[""制造业"", ""半导体"", ""电子/半导体/芯片/集成电路/消费电子/光学光电/计算机硬件""]",False,False,False,False,False,True,True,https://talent.aactechnologies.com/campus,https://mp.weixin.qq.com/s/bGhnx7Ln7srlsExL0Cd-5A,xiaozhao,True,100.0,False,[]
