tata_company,tata_rows,normalized_name,inferred_parent,recommended_parent,in_spring_canonical,in_spring_aliases,in_spring_entity_members,in_base_only,fix_bucket,priority,recommended_action
昆仑芯（北京）科技有限公司,923,昆仑芯（北京）科技有限公司,昆仑芯（北京）科技有限公司,,False,False,False,False,do_not_merge,p0,hold_out
广州橙行智动汽车科技有限公司,257,广州橙行智动汽车科技有限公司,广州橙行智动汽车科技有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
中国电子信息产业集团有限公司,205,中国电子信息产业集团有限公司,中国电子信息产业集团有限公司,,False,False,False,False,do_not_merge,p0,hold_out
维沃移动通信有限公司,187,维沃移动通信有限公司,维沃移动通信有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
耐克,153,耐克,耐克,,False,False,False,False,high_risk_manual_review,p0,manual_review
北京汽车集团有限公司,136,北京汽车集团有限公司,北京汽车集团有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
伦敦证券交易所集团,125,伦敦证券交易所集团,伦敦证券交易所集团,,False,False,False,False,high_risk_manual_review,p0,manual_review
中国中信集团有限公司,115,中国中信集团有限公司,中国中信集团有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
中国共产党成都市金牛区委员会组织部,113,中国共产党成都市金牛区委员会组织部,中国共产党成都市金牛区委员会组织部,,False,False,False,False,high_risk_manual_review,p0,manual_review
,108,,,,False,False,False,False,do_not_merge,p0,hold_out
OPPO广东移动通信有限公司,104,OPPO广东移动通信有限公司,OPPO广东移动通信有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
北京智谱华章科技有限公司,103,北京智谱华章科技有限公司,北京智谱华章科技有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
申万宏源证券有限公司,102,申万宏源证券有限公司,申万宏源证券有限公司,申万宏源证券分支机构,True,True,True,False,high_risk_manual_review,p0,manual_review
万兴科技集团股份有限公司,101,万兴科技集团股份有限公司,万兴科技集团股份有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
中国五矿集团有限公司,101,中国五矿集团有限公司,中国五矿集团有限公司,,False,False,False,False,high_risk_manual_review,p0,manual_review
蓉漂人才荟,100,蓉漂人才荟,蓉漂人才荟,,False,False,False,False,do_not_merge,p0,hold_out
中国石油化工集团有限公司,97,中国石油化工集团有限公司,中国石油化工集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
苏州顺芯半导体有限公司,95,苏州顺芯半导体有限公司,苏州顺芯半导体有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
上海寻梦信息技术有限公司,87,上海寻梦信息技术有限公司,上海寻梦信息技术有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
中国航空无线电电子研究所,78,中国航空无线电电子研究所,中国航空无线电电子研究所,,False,False,False,False,high_risk_manual_review,p1,manual_review
在线途游（北京）科技有限公司,78,在线途游（北京）科技有限公司,在线途游（北京）科技有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
